DateTime, Sensor, Temperature (Celcius), Relative Humidity (%), Pressure (hPa), Light (lx)
2019-12-17 00:00:00 +0800, BME280|BH1750FVI, 21.36, 70.81, 1017.74, 54612
2019-12-17 00:00:07 +0800, BME280|BH1750FVI, 21.36, 70.87, 1017.75, 54612
2019-12-17 00:00:14 +0800, BME280|BH1750FVI, 21.37, 71.02, 1017.75, 54612
2019-12-17 00:00:22 +0800, BME280|BH1750FVI, 21.36, 71.02, 1017.74, 54612
2019-12-17 00:00:29 +0800, BME280|BH1750FVI, 21.33, 70.86, 1017.76, 54612
2019-12-17 00:00:38 +0800, BME280|BH1750FVI, 21.29, 70.86, 1017.70, 54612
2019-12-17 00:00:45 +0800, BME280|BH1750FVI, 21.29, 70.97, 1017.72, 54612
2019-12-17 00:00:53 +0800, BME280|BH1750FVI, 21.28, 71.01, 1017.72, 54612
2019-12-17 00:01:00 +0800, BME280|BH1750FVI, 21.28, 71.04, 1017.71, 54612
2019-12-17 00:01:07 +0800, BME280|BH1750FVI, 21.30, 71.14, 1017.69, 54612
2019-12-17 00:01:16 +0800, BME280|BH1750FVI, 21.28, 71.07, 1017.71, 54612
2019-12-17 00:01:23 +0800, BME280|BH1750FVI, 21.28, 71.21, 1017.71, 54612
2019-12-17 00:01:31 +0800, BME280|BH1750FVI, 21.26, 71.12, 1017.73, 54612
2019-12-17 00:01:38 +0800, BME280|BH1750FVI, 21.23, 71.14, 1017.72, 54612
2019-12-17 00:01:46 +0800, BME280|BH1750FVI, 21.23, 71.21, 1017.71, 54612
2019-12-17 00:01:53 +0800, BME280|BH1750FVI, 21.23, 71.22, 1017.73, 54612
2019-12-17 00:02:02 +0800, BME280|BH1750FVI, 21.23, 71.19, 1017.71, 54612
2019-12-17 00:02:09 +0800, BME280|BH1750FVI, 21.23, 71.27, 1017.73, 54612
2019-12-17 00:02:16 +0800, BME280|BH1750FVI, 21.21, 71.17, 1017.74, 54612
2019-12-17 00:02:24 +0800, BME280|BH1750FVI, 21.18, 71.25, 1017.70, 54612
2019-12-17 00:02:31 +0800, BME280|BH1750FVI, 21.15, 71.29, 1017.68, 54612
2019-12-17 00:02:40 +0800, BME280|BH1750FVI, 21.15, 71.44, 1017.73, 54612
2019-12-17 00:02:47 +0800, BME280|BH1750FVI, 21.11, 71.45, 1017.70, 54612
2019-12-17 00:02:55 +0800, BME280|BH1750FVI, 21.09, 71.46, 1017.73, 54612
2019-12-17 00:03:02 +0800, BME280|BH1750FVI, 21.05, 71.52, 1017.73, 54612
2019-12-17 00:03:09 +0800, BME280|BH1750FVI, 21.02, 71.61, 1017.70, 54612
2019-12-17 00:03:17 +0800, BME280|BH1750FVI, 21.00, 71.69, 1017.70, 54612
2019-12-17 00:03:25 +0800, BME280|BH1750FVI, 20.98, 71.80, 1017.70, 54612
2019-12-17 00:03:33 +0800, BME280|BH1750FVI, 20.95, 71.80, 1017.66, 54612
2019-12-17 00:03:40 +0800, BME280|BH1750FVI, 20.93, 71.90, 1017.69, 54612
2019-12-17 00:03:48 +0800, BME280|BH1750FVI, 20.93, 71.96, 1017.67, 54612
2019-12-17 00:03:55 +0800, BME280|BH1750FVI, 20.92, 71.93, 1017.67, 54612
2019-12-17 00:04:04 +0800, BME280|BH1750FVI, 20.89, 71.93, 1017.67, 54612
2019-12-17 00:04:11 +0800, BME280|BH1750FVI, 20.89, 71.99, 1017.67, 54612
2019-12-17 00:04:18 +0800, BME280|BH1750FVI, 20.90, 72.07, 1017.69, 54612
2019-12-17 00:04:26 +0800, BME280|BH1750FVI, 20.90, 72.14, 1017.70, 54612
2019-12-17 00:04:33 +0800, BME280|BH1750FVI, 20.90, 72.20, 1017.69, 54612
2019-12-17 00:04:40 +0800, BME280|BH1750FVI, 20.88, 72.18, 1017.70, 54612
2019-12-17 00:04:49 +0800, BME280|BH1750FVI, 20.85, 72.19, 1017.69, 54612
2019-12-17 00:04:57 +0800, BME280|BH1750FVI, 20.85, 72.28, 1017.71, 54612
2019-12-17 00:05:04 +0800, BME280|BH1750FVI, 20.84, 72.38, 1017.68, 54612
2019-12-17 00:05:11 +0800, BME280|BH1750FVI, 20.86, 72.43, 1017.68, 54612
2019-12-17 00:05:19 +0800, BME280|BH1750FVI, 20.84, 72.36, 1017.65, 54612
2019-12-17 00:05:27 +0800, BME280|BH1750FVI, 20.85, 72.45, 1017.67, 54612
2019-12-17 00:05:35 +0800, BME280|BH1750FVI, 20.86, 72.50, 1017.71, 54612
2019-12-17 00:05:42 +0800, BME280|BH1750FVI, 20.87, 72.53, 1017.68, 54612
2019-12-17 00:05:49 +0800, BME280|BH1750FVI, 20.87, 72.47, 1017.67, 54612
2019-12-17 00:05:57 +0800, BME280|BH1750FVI, 20.86, 72.43, 1017.66, 54612
2019-12-17 00:06:04 +0800, BME280|BH1750FVI, 20.86, 72.44, 1017.69, 54612
2019-12-17 00:06:13 +0800, BME280|BH1750FVI, 20.86, 72.43, 1017.71, 54612
2019-12-17 00:06:20 +0800, BME280|BH1750FVI, 20.88, 72.54, 1017.67, 54612
2019-12-17 00:06:28 +0800, BME280|BH1750FVI, 20.89, 72.53, 1017.67, 54612
2019-12-17 00:06:35 +0800, BME280|BH1750FVI, 20.90, 72.52, 1017.66, 54612
2019-12-17 00:06:42 +0800, BME280|BH1750FVI, 20.91, 72.54, 1017.67, 54612
